Sub-Category,Revenue,CumRevenuePct,ABC,CV,XYZ,Group
Phones,330007.054,14.365615985225741,A,0.5074690277757182,Z,AZ
Chairs,328449.103,28.663412432903662,A,0.622882116611662,Z,AZ
Storage,223843.608,38.40760206248474,A,0.5632673386879846,Z,AZ
Tables,206965.532,47.417068129503875,A,0.6833375330228164,Z,AZ
Binders,203412.733,56.271876453641255,A,0.560803367630091,Z,AZ
Machines,189238.631,64.5096685540363,A,1.0256701695191603,Z,AZ
Accessories,167380.318,71.79594120405355,A,0.6469689843032899,Z,AZ
Copiers,149528.03,78.30508163596478,A,1.0884222276811555,Z,AZ
Bookcases,114879.9963,83.30595022718572,B,0.6940583955146729,Z,BZ
Appliances,107532.16100000001,87.9869584428085,B,0.6428956489861212,Z,BZ
Furnishings,91705.164,91.97899786717227,B,0.5519850491996594,Z,BZ
Paper,78479.206,95.39529495099589,C,0.5807509100584536,Z,CZ
Supplies,46673.538,97.42705189513637,C,0.7205843934372114,Z,CZ
Art,27118.792,98.60756651484874,C,0.5522478629453079,Z,CZ
Envelopes,16476.402,99.32480471046078,C,0.623490135352935,Z,CZ
Labels,12486.312,99.86834934409674,C,0.6311810982675633,Z,CZ
Fasteners,3024.28,99.99999999999997,C,0.6946810677598433,Z,CZ
